對應類型,對應值,食材,單位,每份用量,啟用,備註
品項編號,R001,拉麵,份,1,TRUE,究極海老王拉麵
品項編號,R001,海老湯底,份,1,TRUE,究極海老王拉麵
品項編號,R002,拉麵,份,1,TRUE,椒麻味噌拉麵
品項編號,R002,椒麻味噌湯底,份,1,TRUE,椒麻味噌拉麵
品項編號,R003,拉麵,份,1,TRUE,炙白筍拉麵
品項編號,R003,白筍,份,1,TRUE,炙白筍拉麵
品項編號,R004,拉麵,份,1,TRUE,塩豚蔥花拉麵
品項編號,R004,青蔥,份,1,TRUE,塩豚蔥花拉麵
品項編號,R005,拉麵,份,1,TRUE,豚骨叉燒大蒜拉麵
品項編號,R005,叉燒,份,1,TRUE,豚骨叉燒大蒜拉麵
品項編號,R006,拉麵,份,1,TRUE,香菜拉麵
品項編號,R006,香菜,份,1,TRUE,香菜拉麵
品項編號,R007,拉麵,份,1,TRUE,黑蒜拉麵
品項編號,R007,黑蒜醬,份,1,TRUE,黑蒜拉麵
品項編號,R008,拉麵,份,1,TRUE,地獄拉麵
品項編號,R008,辣味湯底,份,1,TRUE,地獄拉麵
品項編號,R009,拉麵,份,1,TRUE,辛豚骨拉麵
品項編號,R010,拉麵,份,1,TRUE,味噌拉麵
品項編號,R011,拉麵,份,1,TRUE,豚骨拉麵
品項編號,R012,拉麵,份,1,TRUE,豚骨醬油拉麵
品項編號,R013,拉麵,份,1,TRUE,醬油拉麵
加點編號,T001,拉麵,份,1,TRUE,加麵
加點編號,T002,溏心蛋,顆,1,TRUE,
加點編號,T003,玉米,份,1,TRUE,
加點編號,T004,海苔,份,1,TRUE,
加點編號,T005,青蔥,份,1,TRUE,
加點編號,T006,炙燒肉,片,5,TRUE,
